frame,points,total,diff
1017,27,28,1
1018,21,28,7
1019,20,28,8
1020,15,28,13
1021,0,28,28
1022,0,5,5
1023,0,3,3
1024,0,6,6
1025,0,3,3
1026,0,5,5
1027,2,6,4
1028,46,49,3
1029,47,49,2
1030,49,49,0
1031,48,49,1
1032,1,49,48
1033,0,40,40
1034,0,7,7
1035,0,2,2
1036,0,10,10
1037,0,4,4
1038,0,1,1
1039,5,6,1
1040,5,6,1
1041,5,6,1
1042,5,6,1
1043,5,6,1
1044,5,6,1
1045,0,6,6
1046,0,3,3
1047,0,5,5
1048,0,2,2
1049,0,2,2
1050,10,15,5
1051,6,15,9
1052,48,48,0
1053,46,48,2
1054,45,48,3
1055,30,48,18
1056,0,48,48
1057,0,25,25
1058,0,4,4
1059,0,2,2
1060,0,2,2
1061,0,3,3
1062,27,27,0
1063,27,27,0
1064,27,27,0
1065,27,27,0
1066,25,27,2
1067,1,27,26
1068,0,8,8
1069,0,8,8
1070,0,4,4
1071,0,6,6
1072,1,10,9
1073,0,9,9
1074,0,7,7
1075,12,27,15
1076,48,48,0
1077,48,48,0
1078,40,48,8
1079,7,48,41
1080,1,48,47
1081,0,43,43
1082,0,8,8
1083,0,2,2
1084,0,3,3
1085,0,3,3
1086,0,4,4
1087,24,24,0
1088,23,24,1
1089,24,24,0
1090,24,24,0
1091,24,24,0
1092,24,24,0
1093,4,24,20
1094,0,17,17
1095,0,4,4
1096,0,4,4
1097,0,7,7
1098,0,7,7
1099,0,2,2
1100,4,12,8
1101,46,48,2
1102,48,48,0
1103,47,48,1
1104,3,48,45
1105,0,41,41
1106,0,14,14
1107,0,6,6
1108,0,20,20
1109,0,6,6
1110,0,5,5
1111,0,2,2
1112,2,3,1
1113,1,3,2
1114,8,36,28
1115,34,36,2
1116,35,36,1
1117,29,36,7
1118,35,36,1
1119,3,36,33
1120,0,26,26
1121,0,2,2
1122,0,1,1
1123,0,3,3
1124,25,35,10
1125,17,35,18
1126,48,48,0
1127,44,48,4
1128,41,48,7
1129,31,48,17
1130,19,48,29
1131,0,48,48
1132,0,37,37
1133,0,8,8
1134,0,3,3
1135,0,2,2
1136,0,1,1
1137,8,9,1
1138,8,9,1
1139,8,9,1
1140,8,9,1
1141,8,9,1
1142,8,9,1
1143,8,9,1
1144,0,9,9
1145,0,2,2
1146,0,3,3
1147,0,6,6
1148,0,2,2
1149,0,6,6
1150,40,47,7
1151,30,47,17
1152,36,47,11
1153,42,47,5
1154,46,47,1
1155,2,47,45
1156,0,37,37
1157,0,15,15
1158,0,3,3
1159,0,2,2
1160,0,7,7
1161,0,5,5
1162,16,16,0
1163,16,16,0
1164,14,16,2
1165,14,16,2
1166,16,16,0
1167,16,16,0
1168,16,16,0
1169,0,16,16
1170,0,5,5
1171,0,6,6
1172,0,4,4
1173,0,2,2
1174,0,2,2
1175,16,24,8
1176,13,24,11
1177,18,24,6
