frame,points,total,diff
1418,44,45,1
1419,44,45,1
1420,44,45,1
1421,44,45,1
1422,44,45,1
1423,44,45,1
1424,44,45,1
1425,0,45,45
1426,0,6,6
1427,0,6,6
1428,14,19,5
1429,14,19,5
1430,14,19,5
1431,15,19,4
1432,14,19,5
1433,14,19,5
1434,14,19,5
1435,14,19,5
1436,14,19,5
1437,14,19,5
1438,14,19,5
1439,0,19,19
1440,1,20,19
1441,13,23,10
1442,13,23,10
1443,13,23,10
1444,13,23,10
1445,13,23,10
1446,13,23,10
1447,13,23,10
1448,13,23,10
1449,13,23,10
1450,13,23,10
1451,0,23,23
1452,0,18,18
1453,2,18,16
1454,33,36,3
1455,33,36,3
1456,33,36,3
1457,33,36,3
1458,32,36,4
1459,32,36,4
1460,32,36,4
1461,32,36,4
1462,32,36,4
1463,32,36,4
1464,0,36,36
1465,0,29,29
1466,3,38,35
1467,46,49,3
1468,46,49,3
1469,47,49,2
1470,47,49,2
1471,46,49,3
1472,46,49,3
1473,47,49,2
1474,46,49,3
1475,47,49,2
1476,46,49,3
1477,11,49,38
1478,0,36,36
1479,0,14,14
1480,0,11,11
1481,2,19,17
1482,41,44,3
1483,41,44,3
1484,42,44,2
1485,42,44,2
1486,41,44,3
1487,41,44,3
1488,41,44,3
1489,42,44,2
1490,41,44,3
1491,41,44,3
1492,41,44,3
1493,42,44,2
1494,41,44,3
1495,41,44,3
1496,42,44,2
1497,42,44,2
1498,41,44,3
1499,41,44,3
1500,42,44,2
1501,41,44,3
1502,42,44,2
1503,41,44,3
1504,41,44,3
1505,41,44,3
1506,42,44,2
1507,41,44,3
1508,42,44,2
1509,42,44,2
1510,42,44,2
1511,42,44,2
1512,42,44,2
1513,41,44,3
1514,42,44,2
1515,42,44,2
1516,0,44,44
1517,0,11,11
1518,0,6,6
1519,0,5,5
1520,5,21,16
1521,40,43,3
1522,40,43,3
1523,39,43,4
1524,39,43,4
1525,39,43,4
1526,39,43,4
1527,39,43,4
1528,39,43,4
1529,0,43,43
1530,0,18,18
1531,0,18,18
1532,0,38,38
1533,47,50,3
1534,40,50,10
1535,43,50,7
1536,43,50,7
1537,43,50,7
1538,41,50,9
1539,42,50,8
1540,43,50,7
1541,42,50,8
1542,41,50,9
