frame,points,total,diff
968,47,48,1
969,1,48,47
970,0,22,22
971,0,5,5
972,0,7,7
973,12,24,12
974,44,50,6
975,40,50,10
976,47,50,3
977,47,50,3
978,47,50,3
979,49,50,1
980,48,50,2
981,0,50,50
982,0,11,11
983,0,18,18
984,2,22,20
985,39,44,5
986,33,44,11
987,42,44,2
988,40,44,4
989,36,44,8
990,38,44,6
991,39,44,5
992,38,44,6
993,0,44,44
994,0,9,9
995,0,17,17
996,13,17,4
997,12,17,5
998,12,17,5
999,12,17,5
1000,12,17,5
1001,12,17,5
1002,12,17,5
1003,12,17,5
1004,12,17,5
1005,12,17,5
1006,12,17,5
1007,0,17,17
1008,0,10,10
1009,0,10,10
1010,4,10,6
1011,45,48,3
1012,46,48,2
1013,46,48,2
1014,46,48,2
1015,46,48,2
1016,46,48,2
1017,46,48,2
1018,45,48,3
1019,45,48,3
1020,46,48,2
1021,1,48,47
1022,44,45,1
1023,44,45,1
1024,44,45,1
1025,44,45,1
1026,44,45,1
1027,44,45,1
1028,44,45,1
1029,44,45,1
1030,44,45,1
1031,44,45,1
1032,44,45,1
1033,26,45,19
1034,0,45,45
1035,3,6,3
1036,6,12,6
1037,48,48,0
1038,47,48,1
1039,48,48,0
1040,48,48,0
1041,48,48,0
1042,48,48,0
1043,48,48,0
1044,48,48,0
1045,48,48,0
1046,0,48,48
1047,0,12,12
1048,0,17,17
1049,1,21,20
1050,44,46,2
1051,43,46,3
1052,43,46,3
1053,42,46,4
1054,42,46,4
1055,42,46,4
1056,42,46,4
1057,42,46,4
1058,40,46,6
1059,2,46,44
1060,1,26,25
1061,0,11,11
1062,1,14,13
1063,33,41,8
1064,28,41,13
1065,26,41,15
1066,27,41,14
1067,26,41,15
1068,28,41,13
1069,34,41,7
1070,29,41,12
1071,33,41,8
1072,0,41,41
1073,0,5,5
1074,0,1,1
1075,0,8,8
1076,0,14,14
1077,37,48,11
1078,43,48,5
1079,45,48,3
1080,43,48,5
1081,43,48,5
1082,42,48,6
1083,43,48,5
1084,0,48,48
1085,0,7,7
1086,0,3,3
1087,0,8,8
1088,0,14,14
1089,43,47,4
1090,44,47,3
1091,45,47,2
1092,44,47,3
1093,44,47,3
1094,45,47,2
1095,45,47,2
1096,3,47,44
1097,0,30,30
1098,0,5,5
1099,0,9,9
1100,1,33,32
1101,47,50,3
1102,47,50,3
1103,45,50,5
1104,45,50,5
1105,45,50,5
1106,45,50,5
1107,45,50,5
1108,45,50,5
1109,0,50,50
1110,0,9,9
1111,0,15,15
1112,1,15,14
1113,44,45,1
1114,43,45,2
1115,41,45,4
1116,42,45,3
1117,42,45,3
1118,42,45,3
1119,41,45,4
1120,0,45,45
1121,0,5,5
1122,9,17,8
1123,9,17,8
1124,8,17,9
1125,49,50,1
1126,49,50,1
1127,49,50,1
1128,49,50,1
1129,49,50,1
1130,49,50,1
1131,0,50,50
1132,0,12,12
1133,0,6,6
1134,1,3,2
1135,19,20,1
1136,18,20,2
1137,19,20,1
1138,18,20,2
1139,19,20,1
1140,18,20,2
1141,19,20,1
1142,18,20,2
1143,19,20,1
1144,0,20,20
1145,0,23,23
1146,1,39,38
1147,49,50,1
1148,49,50,1
1149,49,50,1
1150,49,50,1
1151,49,50,1
1152,50,50,0
1153,50,50,0
1154,50,50,0
1155,49,50,1
1156,0,50,50
1157,0,27,27
1158,3,41,38
1159,47,50,3
1160,49,50,1
1161,49,50,1
1162,49,50,1
1163,49,50,1
1164,49,50,1
1165,49,50,1
1166,49,50,1
1167,49,50,1
1168,49,50,1
1169,0,50,50
1170,0,19,19
1171,2,10,8
1172,2,14,12
1173,43,50,7
1174,10,50,40
1175,49,50,1
1176,36,50,14
1177,46,50,4
1178,49,50,1
1179,43,50,7
1180,43,50,7
1181,0,50,50
1182,0,8,8
1183,0,7,7
1184,0,9,9
1185,33,34,1
1186,30,34,4
1187,29,34,5
1188,30,34,4
1189,30,34,4
1190,30,34,4
1191,30,34,4
1192,31,34,3
1193,31,34,3
